"","Var1","group"
"1","AOD_1640nm",1
"2","AOD_1020nm",1
"3","AOD_870nm",1
"4","AOD_865nm",1
"5","AOD_779nm",1
"6","AOD_675nm",1
"7","AOD_667nm",1
"8","AOD_620nm",1
"9","AOD_560nm",1
"10","AOD_555nm",1
"11","AOD_551nm",1
"12","AOD_532nm",1
"13","AOD_531nm",1
"14","AOD_510nm",1
"15","AOD_500nm",1
"16","AOD_490nm",1
"17","AOD_443nm",1
"18","AOD_440nm",1
"19","AOD_412nm",1
"20","AOD_400nm",1
"21","AOD_380nm",1
"22","AOD_340nm",1
"23","Precipitable_Water(cm)",5
"24","440-870_Angstrom_Exponent",2
"25","380-500_Angstrom_Exponent",2
"26","440-675_Angstrom_Exponent",2
"27","500-870_Angstrom_Exponent",2
"28","340-440_Angstrom_Exponent",2
"29","440-675_Angstrom_Exponent[Polar]",2
"30","Solar_Zenith_Angle(Degrees)",4
"31","Ozone(Dobson)",5
"32","NO2(Dobson)",5
"33","PM25",NA
"34","Total_AOD_500nm[tau_a]",1
"35","Fine_Mode_AOD_500nm[tau_f]",3
"36","Coarse_Mode_AOD_500nm[tau_c]",4
"37","FineModeFraction_500nm[eta]",3
"38","2nd_Order_Reg_Fit_Error-Total_AOD_500nm[regression_dtau_a]",5
"39","RMSE_Fine_Mode_AOD_500nm[Dtau_f]",3
"40","RMSE_Coarse_Mode_AOD_500nm[Dtau_c]",4
"41","RMSE_FineModeFraction_500nm[Deta]",3
"42","Angstrom_Exponent(AE)-Total_500nm[alpha]",2
"43","dAE/dln(wavelength)-Total_500nm[alphap]",5
"44","AE-Fine_Mode_500nm[alpha_f]",3
"45","dAE/dln(wavelength)-Fine_Mode_500nm[alphap_f]",3
"46","AOD_Extinction-Total[440nm]",6
"47","AOD_Extinction-Total[675nm]",6
"48","AOD_Extinction-Total[870nm]",6
"49","AOD_Extinction-Total[1020nm]",6
"50","AOD_Extinction-Fine[440nm]",7
"51","AOD_Extinction-Fine[675nm]",7
"52","AOD_Extinction-Fine[870nm]",7
"53","AOD_Extinction-Fine[1020nm]",7
"54","AOD_Extinction-Coarse[440nm]",8
"55","AOD_Extinction-Coarse[675nm]",8
"56","AOD_Extinction-Coarse[870nm]",8
"57","AOD_Extinction-Coarse[1020nm]",8
"58","Extinction_Angstrom_Exponent_440-870nm-Total",2
"59","Single_Scattering_Albedo[440nm]",9
"60","Single_Scattering_Albedo[675nm]",9
"61","Single_Scattering_Albedo[870nm]",9
"62","Single_Scattering_Albedo[1020nm]",9
"63","Absorption_AOD[440nm]",10
"64","Absorption_AOD[675nm]",10
"65","Absorption_AOD[870nm]",10
"66","Absorption_AOD[1020nm]",10
"67","Absorption_Angstrom_Exponent_440-870nm",10
"68","Refractive_Index-Real_Part[440nm]",11
"69","Refractive_Index-Real_Part[675nm]",11
"70","Refractive_Index-Real_Part[870nm]",11
"71","Refractive_Index-Real_Part[1020nm]",11
"72","Refractive_Index-Imaginary_Part[440nm]",11
"73","Refractive_Index-Imaginary_Part[675nm]",11
"74","Refractive_Index-Imaginary_Part[870nm]",11
"75","Refractive_Index-Imaginary_Part[1020nm]",11
"76","Asymmetry_Factor-Total[440nm]",12
"77","Asymmetry_Factor-Total[675nm]",12
"78","Asymmetry_Factor-Total[870nm]",12
"79","Asymmetry_Factor-Total[1020nm]",12
"80","Asymmetry_Factor-Fine[440nm]",13
"81","Asymmetry_Factor-Fine[675nm]",13
"82","Asymmetry_Factor-Fine[870nm]",13
"83","Asymmetry_Factor-Fine[1020nm]",13
"84","Asymmetry_Factor-Coarse[440nm]",14
"85","Asymmetry_Factor-Coarse[675nm]",14
"86","Asymmetry_Factor-Coarse[870nm]",14
"87","Asymmetry_Factor-Coarse[1020nm]",14
"88","Sphericity_Factor(%)",12
"89","VolC-T",5
"90","REff-T",5
"91","VolC-F",5
"92","REff-F",5
"93","VolC-C",5
"94","REff-C",5
