Var1,group
AOD_1640nm,1
AOD_1020nm,1
AOD_870nm,1
AOD_865nm,1
AOD_779nm,1
AOD_675nm,1
AOD_667nm,1
AOD_620nm,1
AOD_560nm,1
AOD_555nm,1
AOD_551nm,1
AOD_532nm,1
AOD_531nm,1
AOD_510nm,1
AOD_500nm,1
AOD_490nm,1
AOD_443nm,1
AOD_440nm,1
AOD_412nm,1
AOD_400nm,1
AOD_380nm,1
AOD_340nm,1
Precipitable_Water(cm),5
440-870_Angstrom_Exponent,2
380-500_Angstrom_Exponent,2
440-675_Angstrom_Exponent,2
500-870_Angstrom_Exponent,2
340-440_Angstrom_Exponent,2
440-675_Angstrom_Exponent[Polar],2
Solar_Zenith_Angle(Degrees),4
Ozone(Dobson),5
NO2(Dobson),5
PM25,
Total_AOD_500nm[tau_a],1
Fine_Mode_AOD_500nm[tau_f],3
Coarse_Mode_AOD_500nm[tau_c],4
FineModeFraction_500nm[eta],3
2nd_Order_Reg_Fit_Error-Total_AOD_500nm[regression_dtau_a],5
RMSE_Fine_Mode_AOD_500nm[Dtau_f],3
RMSE_Coarse_Mode_AOD_500nm[Dtau_c],4
RMSE_FineModeFraction_500nm[Deta],3
Angstrom_Exponent(AE)-Total_500nm[alpha],2
dAE/dln(wavelength)-Total_500nm[alphap],5
AE-Fine_Mode_500nm[alpha_f],3
dAE/dln(wavelength)-Fine_Mode_500nm[alphap_f],3
AOD_Extinction-Total[440nm],6
AOD_Extinction-Total[675nm],6
AOD_Extinction-Total[870nm],6
AOD_Extinction-Total[1020nm],6
AOD_Extinction-Fine[440nm],7
AOD_Extinction-Fine[675nm],7
AOD_Extinction-Fine[870nm],7
AOD_Extinction-Fine[1020nm],7
AOD_Extinction-Coarse[440nm],8
AOD_Extinction-Coarse[675nm],8
AOD_Extinction-Coarse[870nm],8
AOD_Extinction-Coarse[1020nm],8
Extinction_Angstrom_Exponent_440-870nm-Total,2
Single_Scattering_Albedo[440nm],9
Single_Scattering_Albedo[675nm],9
Single_Scattering_Albedo[870nm],9
Single_Scattering_Albedo[1020nm],9
Absorption_AOD[440nm],10
Absorption_AOD[675nm],10
Absorption_AOD[870nm],10
Absorption_AOD[1020nm],10
Absorption_Angstrom_Exponent_440-870nm,10
Refractive_Index-Real_Part[440nm],11
Refractive_Index-Real_Part[675nm],11
Refractive_Index-Real_Part[870nm],11
Refractive_Index-Real_Part[1020nm],11
Refractive_Index-Imaginary_Part[440nm],11
Refractive_Index-Imaginary_Part[675nm],11
Refractive_Index-Imaginary_Part[870nm],11
Refractive_Index-Imaginary_Part[1020nm],11
Asymmetry_Factor-Total[440nm],12
Asymmetry_Factor-Total[675nm],12
Asymmetry_Factor-Total[870nm],12
Asymmetry_Factor-Total[1020nm],12
Asymmetry_Factor-Fine[440nm],13
Asymmetry_Factor-Fine[675nm],13
Asymmetry_Factor-Fine[870nm],13
Asymmetry_Factor-Fine[1020nm],13
Asymmetry_Factor-Coarse[440nm],14
Asymmetry_Factor-Coarse[675nm],14
Asymmetry_Factor-Coarse[870nm],14
Asymmetry_Factor-Coarse[1020nm],14
Sphericity_Factor(%),12
VolC-T,5
REff-T,5
VolC-F,5
REff-F,5
VolC-C,5
REff-C,5
